CL,CLXBOXPS4,GT,CIRCUIT,TEMPS,Help1,Help2,Help3,POINTSCHRONO,POINTS CHRONO ENTIER
11,25,OVT  TALIA63,10,145892,0,0,1,30,15
32,56,GXB GEGEGAMING,10,147607,1,1,1,1.5,0
12,27,PAH3006,8,158145,0,0,0,20,20
1,4,T10 MAEL,8,156041,0,0,0,100,100
3,9,TX3 BENBDBY,8,156477,0,0,0,85,85
4,11,VRT DWILD,8,156764,0,0,0,75,75
6,13,FCT CHRIST94,8,157089,0,0,0,60,60
13,14,BENETLOLO38,8,157200,1,0,1,55,13
12,17,XRT Darkfly,8,157383,0,1,0,45,22
8,21,NEO MUSHRA,8,157566,0,0,0,35,35
9,23,XRT QUARTA,8,157661,0,0,0,30,30
7,18,WTG FRENCHIE,8,157394,0,0,0,40,40
10,15,XRT SANGLUTEN,8,157283,0,0,1,50,25
19,34,VRT CREVETTE,8,158684,1,1,1,20,2
21,41,GXB GEGEGAMING,8,159026,1,1,1,14,1
16,36,DODO875559,8,158717,0,1,1,18,4
26,52,XRT CASPER,8,159698,0,1,1,4,1
25,50,OIGNONVELOURS38,8,159580,0,1,1,4.5,1
30,61,BENJI27260,8,201777,1,1,1,1.5,0
15,47,XRT RFOX,8,159405,0,0,0,6,6
28,64,joyousSquire609,8,215134,1,0,1,1,0
7,16,MWW_Okiel17,8,157359,0,0,0,50,50
8,23,TESKEL0104,3,133804,0,0,0,40,40
5,19,TESKEL0104,6,139844,0,0,0,50,50
2,2,Enosia-Bw98,8,156006,0,0,0,95,95
25,53,DJE94500,10,147393,0,0,1,4,2
22,51,RCR-JEREM_10,8,159663,0,0,0,2.5,2
25,53,Jipe-01,8,159990,0,1,0,2,1
11,25,PUFR PELKA,8,157970,0,0,0,25,25
33,54,PIGSSTEEL,6,141140,1,1,1,3.5,0
32,54,PIGSSTEEL,8,200042,1,1,1,1.5,0
5,21,MICKMARCOTTE,3,133765,0,0,0,50,50
38,73,PICLOK59,3,135948,1,1,1,0.9,0
23,45,LEWISHAM441,3,134734,0,0,1,5,2
1,1,ENOSIA-EnzoP,8,155977,0,0,0,100,100
2,8,FCT CIAMPA,8,156372,0,0,0,95,95
22,42,XRT STORMY,8,159101,1,1,1,12,1
29,60,FCL PESCA,8,201569,1,1,1,2,0
23,57,XRTSAYAN60,8,200976,0,0,1,3,1
14,39,TOMLAFOUDRE,8,158927,0,0,1,16,8
20,45,james90LH,8,159361,1,0,1,10,2
3,3,ENOSIA-LYKOS,8,156026,0,0,0,85,85
21,37,WTG_ATLANTIDE,8,158826,0,0,1,6,3
14,30,ADRIEn350,3,134004,0,0,1,20,10
19,42,XHATEDJO,3,134601,0,0,0,6,6
25,50,VRX_DYNAMIT,3,135010,0,0,1,3.5,1
41,75,MAESTRO1072,3,136043,1,1,1,0.88,0
34,68,MAESTRO1072,6,142196,1,1,1,0.94,0
10,12,ADRIEn350,10,145032,0,0,1,55,27
11,10,ADRIEn350,8,156638,0,0,1,55,27
16,26,WD-DEADPOOL03,8,158041,1,0,1,25,6
17,31,DJE94500,8,158355,0,0,1,12,6
8,32,EL MALE06,8,158444,0,0,1,45,22
29,40,FREDSW87,8,158927,1,1,1,4.5,0
33,58,MAESTRO1072,8,201084,1,1,1,0.95,0
15,30,RCR-MORGAN_022,8,158345,0,0,1,14,7
32,65,MATT18036,3,135667,0,1,0,0.95,0
23,60,ELMALE06,6,141449,0,0,1,2.5,1
21,43,ELMALE06,10,146733,0,0,1,6,3
5,6,RCR-SEB_15,8,156242,0,0,0,65,65
18,33,ELMALE06,8,158444,0,0,1,10,5
24,59,VRT SAITO666,8,201120,0,0,1,2.5,1
5,12,TX3 CIPO37,8,156809,0,0,0,65,65
26,62,REPZOR27,8,202358,0,0,0,0.94,0
16,25,my_name_is_UGO,3,133974,0,1,1,35,8
30,47,my_name_is_UGO,6,140849,1,1,1,6,0
5,13,MICKMARCOTTE,10,145096,0,0,0,50,50
9,20,TESKEL0104,8,157557,0,0,0,40,40
21,36,BSR-CRYSTAL,3,134236,0,1,1,12,3
10,28,MICKMARCOTTE,6,140078,0,0,0,30,30
16,36,TECNEP,6,140344,0,0,1,18,9
21,44,WD-TigersAntho54,6,140709,1,1,0,10,2
8,4,FF1CL-YOOPOOP,10,144125,0,0,1,85,42
7,14,TESKEL0104,10,145153,0,0,0,45,45
19,50,RCR-YOHANN_93,10,147208,0,0,0,4.5,4
4,5,FF1CL-YOOPOOP,8,156168,0,0,0,75,75
6,7,ENOSIA-ADRIANO,8,156311,0,0,0,60,60
8,19,MICKMARCOTTE,8,157480,0,0,0,45,45
23,28,WD-TigersAntho54,8,158300,1,1,1,18,2
13,22,bo2xcobra03,8,157572,1,0,1,35,8
19,43,RCR-YOHANN_93,8,159202,0,0,0,4,4
1,1,Enosia-Bw98,11,128584,0,0,0,100,100
7,7,Enduro_Brokn,11,128901,0,0,1,75,37
12,12,WD-DEADPOOL03,11,129456,1,0,1,55,13
11,22,ADRIEn350,11,130230,0,1,0,30,15
4,13,MICKMARCOTTE,11,129556,0,0,0,50,50
10,25,PAH3006,11,130416,0,0,0,20,20
20,26,WD-TigersAntho54,11,130537,1,1,1,18,2
22,31,WD-DRAGAO,11,130674,1,1,1,14,1
24,34,FREDSW87,11,131012,1,1,1,10,1
18,39,WTG_ATLANTIDE,11,131451,0,0,1,6,3
16,42,RCR-JEREM_10,11,131620,0,0,0,4,4
32,52,MAESTRO1072,11,132524,1,1,1,2,0
34,61,LEWISHAM441,11,136379,1,1,1,0.92,0
20,29,WD-DRAGAO,8,158301,0,1,1,16,4
14,35,lACANBASTOU,8,158706,0,0,0,8,8
24,38,JO-MAKENZI,8,158884,1,0,1,5,1
2,5,ENOSIA-ADRIANO,10,144185,0,0,0,75,75
16,22,bo2xcobra03,10,145716,1,0,1,35,8
18,27,WD-DRAGAO,10,145990,0,1,1,25,6
27,57,RCR-GENFI_30,10,147640,0,1,1,3,0
29,60,JO-MAKENZI,10,148934,1,0,1,2.5,0
17,26,bo2xcobra03,6,140052,1,0,1,35,8
15,43,RCR-NICO_63,6,140615,0,0,0,12,12
19,53,lACANBASTOU,6,141111,0,0,0,4,4
32,61,RCR-GENFI_30,6,141463,0,1,1,2,0
2,9,ENOSIA-ADRIANO,3,132930,0,0,0,75,75
18,29,bo2xcobra03,3,133999,1,0,1,25,6
7,22,RCR-NICO_63,3,133766,0,0,0,45,45
26,49,JO-MAKENZI,3,134995,1,0,1,4,1
36,57,WD-DRAGAO,3,135385,1,1,1,3,0
42,77,RCR-GENFI_30,3,136239,1,1,1,0.87,0
17,46,SCARLYANS,8,159367,0,0,1,8,4
18,55,MAGICESTEVES,8,200287,0,0,0,3.5,3
2,5,T10 MAEL,11,128709,0,0,0,95,95
3,6,TX3 BENBDBY,11,128736,0,0,0,85,85
5,10,VRT DWILD,11,129349,0,0,0,65,65
13,14,AEL22,11,129577,1,0,1,60,15
7,18,XRT Darkfly,11,130045,0,0,0,50,50
9,20,WTG FRENCHIE,11,130157,0,0,0,40,40
16,27,BENETLOLO38,11,130543,1,0,1,30,7
12,32,XRT QUARTA,11,130786,0,0,0,18,18
11,28,XRT SANGLUTEN,11,130613,0,0,0,25,25
21,37,VRT CREVETTE,11,131204,1,1,1,12,1
20,47,XRTSAYAN60,11,131901,0,0,1,6,3
23,49,XRT CASPER,11,132045,1,1,1,5,0
25,50,OIGNONVELOURS38,11,132417,1,1,1,4.5,0
24,57,DAVITAMON26,11,134484,1,0,1,2.5,0
26,62,joyousSquire609,11,140706,1,0,1,2,0
4,11,TX3 CIPO37,10,144968,0,0,0,65,65
19,44,TOMLAFOUDRE,10,146754,0,0,1,6,3
15,39,SCARLYANS,10,146526,0,0,1,10,5
33,59,BENJI27260,10,148788,1,1,1,0.95,0
7,9,TX3 CIPO37,6,139145,0,0,1,75,37
13,14,EVS LOUISS,6,139575,1,0,1,50,12
23,42,SCARLYANS,6,140614,0,0,1,4,2
32,67,CONSTANTZEBRE65,6,142011,1,0,1,0.92,0
36,62,PICLOK59,6,141492,1,1,1,0.94,0
6,13,TX3 CIPO37,3,133087,0,0,0,60,60
30,60,SCARLYANS,3,135463,0,0,1,0.95,0
13,36,RCR-NICO_63,10,146372,0,0,0,12,12
1,4,FCT CIAMPA,11,128706,0,0,0,100,100
4,9,FCT CHRIST94,11,129260,0,0,0,75,75
6,16,TX3 CIPO37,11,129645,0,0,0,55,55
8,19,PUFR PELKA,11,130154,0,0,0,45,45
15,35,SCARLYANS,11,131092,0,0,1,16,8
18,29,DODO875559,11,130640,0,1,1,20,5
27,54,GXB GEGEGAMING,11,133098,1,1,1,3.5,0
28,56,BENJI27260,11,133666,1,1,1,3,0
5,2,FF1CL-YOOPOOP,11,128629,0,0,1,95,47
6,15,RCR-SEB_15,11,129578,0,0,0,45,45
3,8,TESKEL0104,11,129155,0,0,0,65,65
13,17,bo2xcobra03,11,129986,1,0,1,40,10
21,41,Jipe-01,11,131543,0,1,0,4.5,2
19,46,lACANBASTOU,11,131804,0,0,0,3,3
17,45,RCR-YOHANN_93,11,131739,0,0,0,3.5,3
33,58,RCR-GENFI_30,11,134721,0,1,1,0.95,0
31,59,REPZOR27,11,135540,1,0,0,0.94,0
2,3,ENOSIA-EnzoP,11,128691,0,0,0,85,85
23,33,RHONIX_,11,130907,1,1,1,12,1
25,40,my_name_is_UGO,11,131527,0,1,1,5,1
14,30,VRT_LECLERC16,11,130646,0,0,1,16,8
7,20,WD-DRAGAO,6,139844,0,0,0,45,45
9,25,JOWARRIOR1896,6,140036,0,0,0,40,40
27,70,GUNNERS89800,6,143216,0,0,0,0.93,0
28,72,REPZOR27,6,144881,0,0,0,0.92,0
12,27,JOWARRIOR1896,3,133988,0,0,1,30,15
28,49,JOWARRIOR1896,8,159511,1,0,1,3,0
10,24,RCR-NICO_63,8,157835,0,0,0,30,30
14,43,FCL PESCA,11,131620,0,0,0,10,10
29,48,JOWARRIOR1896,11,131963,1,0,1,2.5,0
28,53,GUNNERS89800,11,132736,0,1,0,1.5,0
30,55,MATT18036,11,133207,0,1,0,1,0
15,11,ENOSIA-LYKOS,11,129407,1,1,1,60,7
27,44,my_name_is_UGO,8,159261,0,1,1,3.5,0
30,56,GUNNERS89800,8,200921,0,1,0,1,0
31,63,RCR-GENFI_30,8,203275,0,1,1,0.93,0
